,0
812,62514.4408332145
813,64037.0387366465
814,42923.82208773265
815,56030.38562811735
816,37309.75430218322
817,49327.17319865018
818,36719.82184228193
819,28706.20662624286
820,40366.516472216324
821,36815.2700380855
822,24898.260730998954
823,36882.33546697731
824,36357.99517645876
825,31675.62224142413
826,37537.37186696175
827,48237.30971957825
828,30202.01695194356
829,36951.819483122985
830,28847.373775206208
831,65569.09925692098
832,55439.80646803901
833,25027.499387778218
834,47207.92859912644
835,37389.95353696003
836,38056.199895132784
837,31828.112199105806
838,36951.819483122985
839,37389.95353696003
840,31975.892207575773
841,55104.683471102646
842,36815.2700380855
843,28847.373775206208
844,33154.918427803554
845,47163.49366951852
